ID,Box,Position ID,Insert Date,Removed Date
1,C931,"P01,1",2023-11-17 09:09:37,
2,C375,"P01,2",2023-11-17 09:29:19,
3,C592,"P01,3",2023-11-21 07:16:33,
4,C634,"P01,4",2023-11-21 07:28:19,
5,C779,"P01,5",2023-11-18 07:04:05,
6,C010,"P01,6",2023-11-17 10:05:54,
7,C572,"P01,7",2023-11-17 10:37:12,
8,C002,"P02,1",2023-11-18 08:17:48,
9,C772,"P02,2",2023-11-17 15:57:24,
10,C571,"P02,3",2023-11-17 16:24:18,
11,C134,"P02,4",2023-11-17 16:24:30,
12,C096,"P02,5",2023-09-14 05:59:35,
13,C966,"P02,6",2023-11-16 23:45:05,
14,C180,"P02,7",2023-11-18 08:18:02,
15,C996,"P03,1",2023-11-21 07:56:58,
16,C983,"P03,2",2023-11-17 11:39:35,
17,C205,"P03,3",2023-11-17 12:25:59,
18,C182,"P03,4",2023-11-17 12:26:09,
19,C251,"P03,5",2023-11-17 12:26:19,
20,C020,"P03,6",2023-11-21 07:57:10,
21,C975,"P03,7",2023-11-21 08:11:56,
22,C537,"P04,2",2023-11-17 17:11:28,
23,C240,"P04,3",2023-11-17 00:12:06,
24,C785,"P04,4",2023-11-18 08:55:53,
25,C591,"P04,5",2023-11-18 08:56:06,
26,C707,"P04,6",2023-11-18 08:56:19,
27,C116,"P04,7",2023-11-18 08:57:38,
28,C668,"P05,1",2023-11-21 08:12:15,2023-12-19 01:34:55.211486
29,C145,"P05,2",2023-11-17 10:37:41,
30,C601,"P05,3",2023-11-17 15:20:12,
31,C533,"P05,4",2023-11-17 15:20:22,
32,C179,"P05,5",2023-11-17 12:51:07,
33,C896,"P05,6",2023-11-17 15:40:10,
34,C844,"P05,7",2023-11-17 12:51:16,
35,C403,"P06,2",2023-11-18 10:01:48,
36,C718,"P06,5",2023-11-16 21:41:46,
37,C206,"P06,6",2023-11-17 17:12:00,
38,C664,"P06,7",2023-11-16 21:42:12,
39,C048,"P07,1",2023-09-14 05:58:49,
40,C232,"P07,2",2023-11-16 22:16:26,
41,C822,"P07,3",2023-11-16 22:38:49,
42,C085,"P07,4",2023-11-17 06:51:27,
43,C823,"P07,5",2023-11-17 06:51:37,
44,C200,"P07,6",2023-11-17 07:27:33,
45,C033,"P07,7",2023-11-13 21:07:10,
46,C942,"P08,1",2023-11-17 00:18:39,
47,C505,"P08,2",2023-09-14 08:40:57,
48,C121,"P08,3",2023-11-17 02:17:29,
49,C756,"P08,4",2023-11-17 02:17:43,
50,C713,"P08,5",2023-11-17 02:17:57,
51,C826,"P08,6",2023-10-06 03:28:40,
52,C416,"P08,7",2023-10-06 03:28:51,
53,C955,"P09,1",2023-11-17 23:21:28,
54,C380,"P09,2",2023-11-17 07:28:03,
55,C563,"P09,3",2023-11-17 07:28:13,
56,C114,"P09,4",2023-09-14 05:59:07,
57,C810,"P09,5",2023-11-17 08:14:46,
58,C616,"P09,6",2023-11-16 22:39:29,
59,C964,"P09,7",2023-11-18 07:04:33,
60,C968,"P10,1",2023-11-17 02:18:19,
61,C059,"P10,2",2023-11-17 02:18:34,
62,C129,"P10,3",2023-11-17 02:18:46,
63,C584,"P10,4",2023-05-05 14:39:59,
64,C820,"P10,5",2023-05-05 14:40:13,
65,C107,"P10,6",2023-05-05 14:40:34,
66,C316,"P10,7",2023-05-05 14:47:05,
67,C426,"P11,1",2023-11-18 07:43:52,
68,C979,"P11,2",2023-11-18 07:44:20,
69,C598,"P11,3",2023-11-17 23:21:49,
70,C801,"P11,4",2023-11-17 23:22:03,
71,C029,"P11,7",2023-11-18 00:09:04,
72,C825,"P12,1",2023-11-17 17:16:14,
73,C115,"P12,2",2023-11-17 17:16:28,
74,C757,"P12,3",2023-11-17 18:18:23,
75,C602,"P12,4",2023-11-17 18:18:34,
76,C965,"P12,5",2023-11-17 20:22:38,
77,C632,"P12,6",2023-11-18 10:02:17,
78,C446,"P12,7",2023-11-18 10:53:17,
79,C753,"P13,1",2023-11-18 08:17:04,
80,C083,"P13,3",2023-11-16 22:48:56,
81,C610,"P13,4",2023-11-16 22:54:18,
82,C892,"P13,6",2023-11-18 08:17:16,
83,C917,"P13,7",2023-11-16 23:29:41,
84,C978,"P14,1",2023-11-17 21:26:04,
85,C297,"P14,2",2023-11-17 21:26:10,
86,C047,"P14,3",2023-11-17 21:26:26,
87,C737,"P14,4",2023-11-18 00:09:31,
88,C741,"P14,5",2023-11-18 00:09:43,
89,C914,"P14,6",2023-11-18 01:34:57,
90,C300,"P14,7",2023-11-18 10:53:42,
91,C623,"P15,1",2023-11-17 02:47:36,
92,C551,"P15,2",2023-11-18 10:54:22,
93,C199,"P15,3",2023-11-18 01:35:12,
94,C685,"P15,4",2023-11-18 10:54:39,
95,C208,"P15,5",2023-11-18 15:43:35,
96,C736,"P15,6",2023-11-18 15:44:01,
97,C382,"P15,7",2023-03-31 14:14:17,
98,C558,"P16,1",2023-11-17 22:38:32,
99,C023,"P16,2",2023-11-18 01:35:36,
100,C812,"P16,3",2023-11-18 02:20:27,
101,C754,"P16,4",2023-11-18 02:20:40,
102,C814,"P16,5",2023-11-18 02:20:58,
103,C930,"P16,6",2023-07-20 11:54:27,
104,C945,"P16,7",2023-11-18 02:21:12,
105,C908,"P17,1",2023-03-31 14:14:41,
106,C710,"P17,2",2023-11-21 06:44:24,
107,C057,"P17,3",2023-03-31 14:14:53,
108,C807,"P17,4",2023-03-31 14:14:59,
109,C358,"P17,5",2023-03-31 14:15:11,
110,C750,"P17,6",2023-03-31 14:15:23,
111,C796,"P17,7",2023-03-31 14:15:31,
112,C745,"P18,1",2023-11-07 11:26:23,
113,C633,"P18,2",2023-11-18 03:08:07,
114,C704,"P18,3",2023-11-18 03:08:20,
115,C070,"P18,4",2023-11-18 03:08:34,
116,C611,"P18,5",2023-11-18 04:41:39,
117,C661,"P18,6",2023-11-18 04:41:52,
118,C040,"P18,7",2023-11-18 04:42:06,
119,C727,"P19,1",2023-11-21 07:02:51,
120,C699,"P19,2",2023-11-21 07:03:06,
121,C971,"P19,5",2023-10-31 15:22:06,
122,C120,"P19,7",2023-11-17 08:15:10,
123,C554,"P20,1",2023-11-18 05:45:49,
124,C108,"P20,2",2023-11-18 05:46:03,
125,C273,"P20,3",2023-11-18 06:32:27,
126,C743,"P20,4",2023-11-18 06:32:42,
127,C594,"P20,5",2023-11-18 06:32:56,
